0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
0,fil-701,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 38532.0,None,1219360,0,10,17607,SAR 874908
1,fil-702,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4670.0,None,132851,0,1,1542,SAR 76118
2,fil-703,2015-05-05 00:00:00,1436-07-16,,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 593759.0,None,649943,0,1,9372,SAR 476067
3,fil-704,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 8241.0,None,967411,0,8,13112,SAR 637833
4,fil-705,2015-05-05 00:00:00,1436-07-16,,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 41540.0,None,1271226,0,6,18670,SAR 1020849
5,fil-706,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,Center,,755,Yes,18 hrs,SAR 45752.0,None,724584,0,5,6122,SAR 280644
6,fil-707,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,Center,Grande,590,No,18 hrs,SAR 545497.0,None,2495403,0,5,46431,SAR 2460008
7,fil-708,2015-05-05 00:00:00,1436-07-16,Tue,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 417379.0,None,1094649,0,2,17250,SAR 764660
8,fil-709,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,,Hyper,775,Yes,12 hrs,SAR 59091.0,None,1966364,0,11,27135,SAR 1392651
9,fil-710,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 20602.0,None,395893,0,3,6376,SAR 281764
10,fil-711,2015-05-05 00:00:00,1436-07-16,Tuesday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 19547.0,None,733394,0,8,8800,SAR 512023
11,fil-701,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 43377.0,Grand,1219360,731616,10,17584,SAR 744078
12,fil-702,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 5233.0,Grand,132851,39855,1,1705,SAR 71380
13,fil-703,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 598347.0,Grand,649943,324971,1,8184,SAR 406643
14,fil-704,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 8037.0,Grand,967411,386964,8,10912,SAR 528881
15,fil-705,2015-05-06 00:00:00,1436-07-17,Wed,May,Rajab,,,760,No,24 hrs,SAR 44148.0,Grand,1271226,635613,6,13525,SAR 748370
16,fil-706,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,Center,,755,Yes,18 hrs,SAR 51680.0,Grand,724584,362292,5,5180,SAR 205564
17,fil-707,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,Center,,590,No,18 hrs,SAR 554130.0,Grand,2495403,748620,5,24824,SAR 1259823
18,fil-708,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 449606.0,Grand,1094649,656789,2,21010,SAR 1081153
19,fil-709,2015-05-06 00:00:00,1436-07-17,Wed,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 67779.0,Grand,1966364,1179818,11,16517,SAR 746141
