0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
0,fil-701,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1247.0,Regular,453054,226527,5,4122,SAR 217014
1,fil-702,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 340040.0,None,1917897,0,7,16110,SAR 838425
2,fil-703,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 30996.0,Regular,138913,69456,1,1540,SAR 78623
3,fil-704,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 686076.0,None,846845,0,8,7987,SAR 410530
4,fil-705,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 29639.0,Regular,321070,128428,2,5205,SAR 267548
5,fil-706,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 166097.0,None,918095,0,11,7711,SAR 361006
6,fil-707,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 50529.0,Regular,331111,165555,6,3973,SAR 158825
7,fil-708,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 87787.0,None,275097,0,1,5664,SAR 296743
8,fil-709,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 5375.0,Regular,326509,195905,11,2772,SAR 136515
9,fil-710,2018-06-18 00:00:00,1439-10-04,Mon,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 38689.0,None,188233,0,2,2827,SAR 128927
10,fil-701,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1065.0,None,453054,0,5,6773,SAR 345582
11,fil-702,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 311387.0,None,1917897,0,7,12658,SAR 658438
12,fil-703,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 32563.0,None,138913,0,1,3079,SAR 129801
